date,value_mill_m3
1996-11-24,167.4912
1996-11-25,168.3075
1996-11-26,166.8379
1996-11-27,165.8581
1996-11-28,164.7149
1996-11-29,163.5717
1996-11-30,162.2655
1996-12-01,161.2857
1996-12-02,159.979
1996-12-03,158.9993
1996-12-04,158.183
1996-12-05,157.5296
1996-12-06,157.8566
1996-12-07,158.5094
1996-12-08,158.3464
1996-12-09,156.8768
1996-12-10,155.9033
1996-12-11,154.964
1996-12-12,153.8685
1996-12-13,152.6159
1996-12-14,151.3637
1996-12-15,150.2677
1996-12-16,149.0155
1996-12-17,147.9196
1996-12-18,146.6669
1996-12-19,145.4147
1996-12-20,144.3188
1996-12-21,142.9099
1996-12-22,141.6577
1996-12-23,140.2483
1996-12-24,138.9961
1996-12-25,137.7439
1996-12-26,136.3345
1996-12-27,134.9257
1996-12-28,133.5168
1996-12-29,132.1079
1996-12-30,130.699
1996-12-31,128.9772
1997-01-01,127.2549
1997-01-02,125.6893
1997-01-03,124.2832
1997-01-04,122.7271
1997-01-05,121.6383
1997-01-06,120.3932
1997-01-07,119.1486
1997-01-08,117.9036
1997-01-09,116.5032
1997-01-10,115.1029
1997-01-11,113.8583
1997-01-12,112.6132
1997-01-13,111.2129
1997-01-14,109.8125
1997-01-15,108.2564
1997-01-16,107.4786
1997-01-17,106.5451
1997-01-18,105.4557
1997-01-19,104.2107
1997-01-20,102.9661
1997-01-21,101.8768
1997-01-22,100.4764
1997-01-23,99.54288
1997-01-24,98.92034
1997-01-25,97.67575
1997-01-26,97.8315
1997-01-27,98.29828
1997-01-28,97.20897
1997-01-29,95.49712
1997-01-30,95.1861
1997-01-31,95.1861
1997-02-01,95.34184
1997-02-02,95.1861
1997-02-03,95.34184
1997-02-04,95.49712
1997-02-05,95.65287
1997-02-06,95.1861
1997-02-07,93.9415
1997-02-08,93.33246
1997-02-09,93.481
1997-02-10,93.63
1997-02-11,92.58794
1997-02-12,91.39734
1997-02-13,90.20674
1997-02-14,89.16468
1997-02-15,88.42016
