date,value,quality
2001-03-08 00:00:00+00:00,125.0,3
2001-03-09 00:00:00+00:00,126.0,3
2001-03-10 00:00:00+00:00,127.0,3
2001-03-11 00:00:00+00:00,129.0,3
2001-03-12 00:00:00+00:00,134.0,3
2001-03-13 00:00:00+00:00,138.0,3
2001-03-14 00:00:00+00:00,141.0,3
2001-03-15 00:00:00+00:00,142.0,3
2001-03-16 00:00:00+00:00,140.0,3
2001-03-17 00:00:00+00:00,142.0,3
2001-03-18 00:00:00+00:00,136.0,3
2001-03-19 00:00:00+00:00,136.0,3
2001-03-20 00:00:00+00:00,136.0,3
2001-03-21 00:00:00+00:00,134.0,3
2001-03-22 00:00:00+00:00,134.0,3
2001-03-23 00:00:00+00:00,133.0,3
2001-03-24 00:00:00+00:00,132.0,3
2001-03-25 00:00:00+00:00,131.0,3
2001-03-26 00:00:00+00:00,130.0,3
2001-03-27 00:00:00+00:00,128.0,3
2001-03-28 00:00:00+00:00,127.0,3
2001-03-29 00:00:00+00:00,128.0,3
2001-03-30 00:00:00+00:00,129.0,3
2001-03-31 00:00:00+00:00,130.0,3
2001-04-01 00:00:00+00:00,133.0,3
2001-04-02 00:00:00+00:00,138.0,3
2001-04-03 00:00:00+00:00,144.0,3
2001-04-04 00:00:00+00:00,170.0,3
2001-04-05 00:00:00+00:00,206.0,3
2001-04-06 00:00:00+00:00,240.0,3
2001-04-07 00:00:00+00:00,258.0,3
2001-04-08 00:00:00+00:00,221.0,3
2001-04-09 00:00:00+00:00,203.0,3
2001-04-10 00:00:00+00:00,190.0,3
2001-04-11 00:00:00+00:00,170.0,3
2001-04-12 00:00:00+00:00,160.0,3
2001-04-13 00:00:00+00:00,156.0,3
2001-04-14 00:00:00+00:00,154.0,3
2001-04-15 00:00:00+00:00,149.0,3
2001-04-16 00:00:00+00:00,147.0,3
2001-04-17 00:00:00+00:00,147.0,3
2001-04-18 00:00:00+00:00,144.0,3
2001-04-19 00:00:00+00:00,147.0,3
2001-04-20 00:00:00+00:00,147.0,3
2001-04-21 00:00:00+00:00,145.0,3
2001-04-22 00:00:00+00:00,144.0,3
2001-04-23 00:00:00+00:00,145.0,3
2001-04-24 00:00:00+00:00,151.0,3
2001-04-25 00:00:00+00:00,170.0,3
2001-04-26 00:00:00+00:00,212.0,3
2001-04-27 00:00:00+00:00,218.0,3
2001-04-28 00:00:00+00:00,215.0,3
2001-04-29 00:00:00+00:00,211.0,3
2001-04-30 00:00:00+00:00,210.0,3
2001-05-01 00:00:00+00:00,200.0,3
2001-05-02 00:00:00+00:00,193.0,3
2001-05-03 00:00:00+00:00,190.0,3
2001-05-04 00:00:00+00:00,186.0,3
2001-05-05 00:00:00+00:00,180.0,3
2001-05-06 00:00:00+00:00,175.0,3
2001-05-07 00:00:00+00:00,173.0,3
2001-05-08 00:00:00+00:00,170.0,3
2001-05-09 00:00:00+00:00,177.0,3
2001-05-10 00:00:00+00:00,190.0,3
2001-05-11 00:00:00+00:00,190.0,3
2001-05-12 00:00:00+00:00,189.0,3
2001-05-13 00:00:00+00:00,183.0,3
2001-05-14 00:00:00+00:00,167.0,3
2001-05-15 00:00:00+00:00,155.0,3
2001-05-16 00:00:00+00:00,148.0,3
2001-05-17 00:00:00+00:00,140.0,3
2001-05-18 00:00:00+00:00,139.0,3
2001-05-19 00:00:00+00:00,129.0,3
2001-05-20 00:00:00+00:00,116.0,3
2001-05-21 00:00:00+00:00,110.0,3
2001-05-22 00:00:00+00:00,107.0,3
2001-05-23 00:00:00+00:00,105.0,3
2001-05-24 00:00:00+00:00,99.0,3
2001-05-25 00:00:00+00:00,90.0,3
2001-05-26 00:00:00+00:00,87.0,3
2001-05-27 00:00:00+00:00,86.0,3
2001-05-28 00:00:00+00:00,85.0,3
2001-05-29 00:00:00+00:00,84.0,3
2001-05-30 00:00:00+00:00,78.0,3
2001-05-31 00:00:00+00:00,68.0,3
2001-06-01 00:00:00+00:00,58.0,3
2001-06-02 00:00:00+00:00,53.0,3
2001-06-03 00:00:00+00:00,52.0,3
2001-06-04 00:00:00+00:00,55.0,3
2001-06-05 00:00:00+00:00,54.0,3
2001-06-06 00:00:00+00:00,58.0,3
2001-06-07 00:00:00+00:00,60.0,3
2001-06-08 00:00:00+00:00,60.0,3
2001-06-09 00:00:00+00:00,58.0,3
2001-06-10 00:00:00+00:00,58.0,3
2001-06-11 00:00:00+00:00,58.0,3
2001-06-12 00:00:00+00:00,61.0,3
2001-06-13 00:00:00+00:00,59.0,3
2001-06-14 00:00:00+00:00,58.0,3
2001-06-15 00:00:00+00:00,58.0,3
2001-06-16 00:00:00+00:00,58.0,3
2001-06-17 00:00:00+00:00,59.0,3
2001-06-18 00:00:00+00:00,60.0,3
2001-06-19 00:00:00+00:00,50.0,3
2001-06-20 00:00:00+00:00,53.0,3
2001-06-21 00:00:00+00:00,56.0,3
2001-06-22 00:00:00+00:00,57.0,3
2001-06-23 00:00:00+00:00,58.0,3
2001-06-24 00:00:00+00:00,58.0,3
2001-06-25 00:00:00+00:00,58.0,3
2001-06-26 00:00:00+00:00,58.0,3
2001-06-27 00:00:00+00:00,56.0,3
2001-06-28 00:00:00+00:00,56.0,3
2001-06-29 00:00:00+00:00,54.0,3
2001-06-30 00:00:00+00:00,53.0,3
2001-07-01 00:00:00+00:00,52.0,3
2001-07-02 00:00:00+00:00,51.0,3
2001-07-03 00:00:00+00:00,51.0,3
2001-07-04 00:00:00+00:00,50.0,3
2001-07-05 00:00:00+00:00,50.0,3
